Time, CA-V, CB-V 
16.238, 1.804, 0.001  
16.244, 1.800, 0.001  
16.248, 1.796, 0.001  
16.299, 1.792, 0.001  
16.304, 1.788, 0.001  
16.341, 1.785, 0.001  
16.346, 1.781, 0.001  
16.351, 1.777, 0.001  
16.394, 1.773, 0.001  
16.398, 1.770, 0.001  
16.444, 1.766, 0.001  
16.449, 1.762, 0.001  
16.455, 1.759, 0.001  
16.498, 1.755, 0.001  
16.503, 1.751, 0.001  
16.508, 1.748, 0.001  
16.547, 1.744, 0.001  
16.551, 1.740, 0.001  
16.599, 1.737, 0.001  
16.603, 1.733, 0.001  
16.615, 1.729, 0.001  
16.649, 1.726, 0.001  
16.655, 1.722, 0.001  
16.699, 1.719, 0.001  
16.707, 1.715, 0.001  
16.711, 1.711, 0.001  
16.752, 1.708, 0.001  
16.757, 1.704, 0.001  
16.802, 1.701, 0.001  
16.809, 1.697, 0.001  
16.813, 1.693, 0.001  
16.852, 1.690, 0.001  
16.857, 1.686, 0.001  
16.861, 1.683, 0.001  
16.904, 1.679, 0.001  
16.910, 1.676, 0.001  
16.965, 1.672, 0.001  
16.970, 1.669, 0.001  
16.975, 1.665, 0.001  
17.009, 1.662, 0.001  
17.014, 1.658, 0.001  
17.061, 1.655, 0.001  
17.065, 1.651, 0.001  
17.070, 1.648, 0.001  
17.114, 1.645, 0.001  
17.118, 1.641, 0.001  
17.161, 1.638, 0.001  
17.165, 1.634, 0.001  
17.171, 1.631, 0.001  
17.213, 1.627, 0.001  
17.219, 1.624, 0.001  
17.264, 1.621, 0.001  
17.269, 1.617, 0.001  
17.282, 1.614, 0.001  
17.307, 1.611, 0.001  
17.314, 1.607, 0.001  
17.320, 1.604, 0.001  
17.358, 1.600, 0.001  
17.363, 1.597, 0.001  
17.415, 1.594, 0.001  
17.420, 1.590, 0.001  
17.427, 1.587, 0.001  
17.468, 1.584, 0.001  
17.474, 1.581, 0.001  
17.520, 1.577, 0.001  
17.524, 1.574, 0.001  
17.529, 1.571, 0.001  
17.572, 1.567, 0.001  
17.577, 1.564, 0.001  
17.633, 1.561, 0.001  
17.637, 1.558, 0.001  
17.643, 1.554, 0.001  
17.672, 1.551, 0.001  
17.677, 1.548, 0.001  
17.724, 1.545, 0.001  
17.733, 1.541, 0.001  
17.737, 1.538, 0.001  
17.775, 1.535, 0.001  
17.780, 1.532, 0.001  
17.784, 1.529, 0.001  
17.828, 1.525, 0.001  
17.832, 1.522, 0.001  
17.880, 1.519, 0.001  
17.885, 1.516, 0.001  
17.892, 1.513, 0.001  
17.930, 1.510, 0.001  
17.934, 1.506, 0.001  
17.982, 1.503, 0.001  
17.987, 1.500, 0.001  
17.993, 1.497, 0.001  
18.032, 1.494, 0.001  
18.037, 1.491, 0.001  
18.082, 1.488, 0.001  
18.086, 1.485, 0.001  
18.091, 1.481, 0.001  
18.134, 1.478, 0.001  
18.139, 1.475, 0.001  
18.146, 1.472, 0.001  
18.185, 1.469, 0.001  
18.190, 1.466, 0.001  
18.236, 1.463, 0.001  
18.241, 1.460, 0.001  
18.244, 1.457, 0.001  
18.293, 1.454, 0.001  
18.299, 1.451, 0.001  
18.339, 1.448, 0.001  
18.344, 1.445, 0.001  
18.350, 1.442, 0.001  
18.389, 1.439, 0.001  
18.396, 1.436, 0.001  
18.441, 1.433, 0.001  
18.446, 1.430, 0.001  
18.452, 1.427, 0.001  
18.493, 1.424, 0.001  
18.498, 1.421, 0.001  
18.545, 1.418, 0.001  
18.550, 1.415, 0.001  
18.555, 1.412, 0.001  
18.593, 1.409, 0.001  
18.598, 1.406, 0.001  
18.603, 1.403, 0.001  
